,title,question,answer
1004,William Roper,What is the county town of Kent?,Maidstone
1005,William Roper,What are the two Areas of Outstanding Natural Beauty located in Kent?,the North Downs and The High Weald
1006,William Roper,Which two cathedrals are mentioned as being located in Kent?,Canterbury Cathedral and Rochester Cathedral
1007,William Roper,What nickname is given to Kent due to its agricultural sector?,The Garden of England
1008,William Roper,What book did Thomas More publish in 1516?,Utopia
1009,William Roper,In what year was Thomas More canonised as a martyr?,1935
1010,William Roper,What is Canterbury recognized as by UNESCO?,A World Heritage Site
1011,William Roper,What is the main economic activity in Canterbury?,Tourism
1012,William Roper,What were the original responsibilities of the High Sheriff of Kent?,"Originally, the High Sheriff was the principal law enforcement officer in the county."
1013,William Roper,What is the High Sheriff of Kent?,The High Sheriff of Kent is the oldest secular office under the Crown.
1014,William Roper,How often does the High Sheriff of Kent change?,The High Sheriff changes every March.
1015,William Roper,Is Eltham recognized in the London Plan?,"Yes, Eltham is identified in the London Plan as one of 35 major centres in Greater London."
1016,William Roper,What position did Thomas More serve under Henry VIII?,Lord High Chancellor of England
1017,William Roper,What major roads pass through Well Hall?,The South Circular Road and A2 road pass through Well Hall.
1018,William Roper,When was Thomas More born?,7 February 1478
1019,William Roper,Where is Well Hall located?,"Well Hall is located to the north of Eltham in the Royal Borough of Greenwich, southeast London, England."
1020,William Roper,"How many Academy Awards did Robert Bolt win, and for which screenplays?","He won two Academy Awards for Best Adapted Screenplay, for Doctor Zhivago and A Man for All Seasons."
1021,William Roper,How far is Eltham from Charing Cross?,Eltham is 8.7 miles (14.0 km) east-southeast of Charing Cross.
1022,William Roper,What are some of the screenplays Robert Bolt is known for?,"Lawrence of Arabia, Doctor Zhivago, and A Man for All Seasons."
1023,William Roper,What is Well Hall known for today?,"Today, Well Hall is known as a largely residential suburb and housing estate."
1024,"Wolfgang, Count Palatine of Zweibrücken",When did Palatinate-Neuburg join the Protestant Union?,1608
1025,"Wolfgang, Count Palatine of Zweibrücken",In which district is Meisenheim located?,Bad Kreuznach district
1026,"Wolfgang, Count Palatine of Zweibrücken",What is Meisenheim recognized as by the state?,A state-recognized recreational resort (Erholungsort)
1027,"Wolfgang, Count Palatine of Zweibrücken",What happened to Palatinate-Sulzbach after Otto Henry died?,"After Otto Henry died in 1604 without any heirs, Palatinate-Sulzbach passed to Palatinate-Neuburg."
1028,"Wolfgang, Count Palatine of Zweibrücken",What significant religious change did John I implement in his state?,He changed the state religion from Lutheranism to Calvinism in 1588.
1029,"Wolfgang, Count Palatine of Zweibrücken",What is Meisenheim's role in state planning?,It is set out as a middle centre
1030,Wanda Orlikowski,When was the London School of Economics and Political Science (LSE) founded?,1895
1031,Wanda Orlikowski,What is the title of the book authored by Karen Barad?,Meeting the Universe Halfway: Quantum Physics and the Entanglement of Matter and Meaning
1032,Wanda Orlikowski,When was Copenhagen Business School (CBS) established?,1917
1033,Wanda Orlikowski,How many students approximately study at Copenhagen Business School?,"Approximately 20,000 students."
1034,Wanda Orlikowski,When was the University of the Witwatersrand founded?,1896
1035,Wanda Orlikowski,When was New York University (NYU) chartered and by whom?,NYU was chartered in 1831 by the New York State Legislature.
1036,Wanda Orlikowski,When was the MIT Sloan School of Management founded?,The MIT Sloan School of Management began in 1914.
1037,Wanda Orlikowski,What is JoAnne Yates' field of expertise?,Organization studies and information technology.
1038,Wanda Orlikowski,Can Fellows of the British Academy use any post-nominal letters?,"Yes, fellows may use the post-nominal letters FBA."
1039,Wanda Orlikowski,"What fields does Karen Barad currently teach at the University of California, Santa Cruz?","Feminist Studies, Philosophy, and History of Consciousness"
1040,Wanda Orlikowski,What notable grant did Annemarie Mol receive in 2010?,She received a European Research Council Advanced Grant in 2010.
1041,Wanda Orlikowski,What significant role did JoAnne Yates hold at the MIT Sloan School of Management?,"Sloan Distinguished Professor of Management, Emerita."
1042,Wanda Orlikowski,What is the criterion for awarding a Fellowship of the British Academy?,The award of fellowship is based on published work.
1043,Wanda Orlikowski,What is the impact factor of Information Systems Research as of 2018?,The journal has a 2018 impact factor of 2.457.
1044,Wanda Orlikowski,What field does Annemarie Mol specialize in?,Annemarie Mol specializes in ethnography and philosophy.
1045,Wanda Orlikowski,What is Lucy Suchman known for in relation to her work at Xerox PARC?,"Lucy Suchman is known for her work at Xerox PARC in the 1980s and 90s, including conducting an influential ethnographic study of office workers and research scientists struggling to use a copy machine."
1046,Wanda Orlikowski,What disciplines does Information Systems Research cover?,"Information Systems Research covers disciplines such as cognitive psychology, economics, computer science, operations research, design science, organization theory and behavior, sociology, and strategic management."
1047,Wanda Orlikowski,In what area did Karen Barad earn their doctorate?,Theoretical physics
1048,Wanda Orlikowski,What are the different categories of Fellows in the British Academy?,"Fellows, Corresponding Fellows, Honorary Fellows, and Deceased Fellows."
1049,Jonas Kazlauskas,What is EuroBasket also known as?,The European Basketball Championship
1050,Jonas Kazlauskas,What is the official name of Lithuania?,Republic of Lithuania
1051,Jonas Kazlauskas,When did Lithuania first declare independence in the 20th century?,1918
1052,Jonas Kazlauskas,What is the Chinese Basketball Association commonly abbreviated as?,CBA
1053,Jonas Kazlauskas,How many teams are there in the EuroLeague?,18 teams
1054,Jonas Kazlauskas,What does it mean when a team's name is in bold during the 2018 CBA Playoffs bracket?,The team advanced to the next round
1055,Jonas Kazlauskas,Where was the EuroBasket 2009 held?,Poland
1056,Jonas Kazlauskas,What was the FIBA Asia Cup formerly known as?,The FIBA Asia Cup was formerly known as the FIBA Asia Championship and ABC Championship.
1057,Jonas Kazlauskas,Which team holds the record for the most gold medals in EuroBasket?,The former Soviet Union
1058,Jonas Kazlauskas,When did the Chinese Basketball Association begin play?,1995-96 season
1059,Jonas Kazlauskas,What is the EuroLeague known as for sponsorship reasons?,Turkish Airlines EuroLeague
1060,Jonas Kazlauskas,"Which team won EuroBasket 2001, and what was the score in the final?","Serbia won EuroBasket 2001, defeating Turkey with a 78–69 score in the final."
1061,Jonas Kazlauskas,Which NBA teams did Del Harris serve as a head coach for?,"Houston Rockets, Milwaukee Bucks, and Los Angeles Lakers"
1062,Jonas Kazlauskas,Who was voted the MVP of EuroBasket 2001?,Peja Stojaković was voted the MVP of EuroBasket 2001.
1063,Jonas Kazlauskas,How many teams were expanded to in the 2018 CBA Playoffs?,10 teams
1064,Jonas Kazlauskas,What is unique about the Guangdong Southern Tigers' playoff qualifications?,They are the only team to have qualified for the CBA playoffs in every season since the league launched in 1995.
1065,Jonas Kazlauskas,What was the purpose of EuroBasket 2001?,"EuroBasket 2001 served as the Europe qualifier for the 2002 FIBA World Championship, giving a berth to the top four (or five, depending on Serbia reaching one of the top four places) teams."
1066,Jonas Kazlauskas,"Which club is the most successful in EuroLeague history, as of 2023?",Real Madrid with eleven titles
1067,Russell Alan Hulse,Who was the first recipient of the Nobel Prize in Physics?,Wilhelm Röntgen
1068,Russell Alan Hulse,In what year was the Bronx High School of Science founded?,1938.
1069,Russell Alan Hulse,What notable publication is published by the American Association for the Advancement of Science?,The scientific journal Science.
1070,Russell Alan Hulse,"When was Cooper Union founded, and by whom?",Cooper Union was founded in 1859 by Peter Cooper.
1071,Russell Alan Hulse,What is the purpose of the National Radio Astronomy Observatory (NRAO)?,The purpose of NRAO is for radio astronomy.
1072,Russell Alan Hulse,What kind of research activity classification does the Carnegie Foundation give UT Dallas?,Doctoral research university with 'Highest Research Activity'
1073,Russell Alan Hulse,What is required for admission to the Bronx High School of Science?,Passing the Specialized High Schools Admissions Test.
1074,Russell Alan Hulse,What are the three schools within Cooper Union?,"The Irwin S. Chanin School of Architecture, the School of Art, and the Albert Nerken School of Engineering."
1075,Russell Alan Hulse,What is the primary mission of the Princeton Plasma Physics Laboratory?,Its primary mission is research into and development of fusion as an energy source.
1076,Russell Alan Hulse,What are the fields in which the Nobel Prizes are awarded as specified in Alfred Nobel's will?,"Physics, Chemistry, Physiology or Medicine, Literature, and Peace."
1077,Russell Alan Hulse,What is the Green Bank Observatory known for?,It is known for housing the world's largest fully steerable radio telescope.
1078,Russell Alan Hulse,When is the Nobel Prize in Physics presented annually?,On the 10th of December.
1079,Russell Alan Hulse,Where is the Princeton Plasma Physics Laboratory located?,"It is located on Princeton University's Forrestal Campus in Plainsboro Township, New Jersey."
1080,Russell Alan Hulse,How many Nobel laureates in science have come from the Bronx High School of Science?,The most of any secondary school in the world.
1081,Russell Alan Hulse,What does the Nobel Prize in Physics consist of?,"A medal, a diploma, and a certificate for the monetary award."
1082,Russell Alan Hulse,How did the community of Green Bank get its name?,It was named for a green riverbank near the original town site.
1083,Russell Alan Hulse,How significant is the American Association for the Advancement of Science in terms of membership?,"It is the world's largest general scientific society, with over 120,000 members."
1084,Russell Alan Hulse,"Why is Green Bank, West Virginia, a significant location for people with electromagnetic hypersensitivity?","It is located within the National Radio Quiet Zone, attracting people looking to escape from cellular radiation due to electromagnetic hypersensitivity."
1085,Russell Alan Hulse,What does each Nobel Prize laureate receive?,"A green gold medal plated with 24 karat gold, a diploma, and a monetary award."
1086,Russell Alan Hulse,Who operates the National Radio Astronomy Observatory?,"The NRAO is operated by Associated Universities, Inc. under cooperative agreement."
1087,José Batlle y Ordóñez,What is Sitges renowned for worldwide?,"Sitges is renowned worldwide for its film festival, Carnival, and LGBT culture."
1088,José Batlle y Ordóñez,When did the British invasions of the River Plate take place?,Between 1806 and 1807.
1089,Eberhard Jüngel,What is Heidelberg famous for in terms of education?,"Heidelberg University, Germany's oldest university"
1090,Eberhard Jüngel,How many books are in the New Testament canon recognized by almost all Christian traditions today?,27
1091,Eberhard Jüngel,What language was the New Testament originally written in?,Koine Greek
1092,Eberhard Jüngel,When was the Norwegian Academy of Science and Letters founded?,In 1857.
1093,Eberhard Jüngel,When was the University of Greifswald founded?,1456
1094,Eberhard Jüngel,Who was buried in Magdeburg's cathedral after their death?,"Otto I, the first Holy Roman Emperor"
1095,Eberhard Jüngel,What was Christoph Schwöbel's role at the University of St Andrews?,He was Professor of Systematic Theology.
1096,Eberhard Jüngel,Who was the first rector of the University of Tübingen?,The first rector of the University of Tübingen was Johannes Nauclerus.
1097,Eberhard Jüngel,Who is credited with writing the four canonical gospels in the New Testament?,"The Four Evangelists (Matthew, Mark, Luke, and John)"
1098,Eberhard Jüngel,What is Tübingen known for?,Tübingen is known as a traditional university city.
1099,Eberhard Jüngel,What were Gerhard Ebeling's primary academic interests?,Ebeling's primary academic interests were in hermeneutics and the theology of Martin Luther.
1100,Eberhard Jüngel,When and where was Gerhard Ebeling born?,"Gerhard Ebeling was born on 6 July 1912 in Steglitz, Berlin."
1101,Eberhard Jüngel,What is the primary purpose of the Norwegian Academy of Science and Letters?,To support the advancement of science and scholarship in Norway.
1102,Eberhard Jüngel,What are some of the natural borders surrounding Heidelberg?,"The Königstuhl, the Gaisberg, and the Heiligenberg mountains"
1103,Eberhard Jüngel,How far is Tübingen from Stuttgart?,Tübingen is situated 30 km (19 mi) south of Stuttgart.
1104,Eberhard Jüngel,What is the University of Tübingen especially known for?,"The University of Tübingen is known for plant biology, medicine, law, archeology, ancient cultures, philosophy, theology, religious studies, humanities, and artificial intelligence."
1105,Eberhard Jüngel,What is the geographical feature immediately north of Tübingen?,"Immediately north of Tübingen lies the Schönbuch, a densely wooded nature park."
1106,Eberhard Jüngel,What is the University of Basel known for?,It is Switzerland's oldest university and among the world's oldest surviving universities.
1107,Eberhard Jüngel,What is the former name of the University of Greifswald?,Ernst-Moritz-Arndt University of Greifswald
1108,Eberhard Jüngel,Which fields did Christoph Schwöbel specialize in?,He specialized in fundamental theology and philosophy of religion.
1109,Chico O'Farrill,What is Havana the capital city of?,Cuba
1110,Chico O'Farrill,What instruments did Dizzy Gillespie play?,Trumpet
1111,Chico O'Farrill,What genre of music is Dizzy Gillespie most associated with?,Jazz
1112,Chico O'Farrill,What style of jazz is Charlie Parker associated with?,Bebop
1113,Chico O'Farrill,What nickname was Benny Goodman known by?,King of Swing
1114,Chico O'Farrill,When was Count Basie born?,"August 21, 1904"
1115,Chico O'Farrill,What was the name of the band Machito formed in New York City in 1940?,Machito formed the Afro-Cubans in 1940.
1116,Chico O'Farrill,What instruments were introduced into East Coast jazz scene through Afro-Cuban jazz?,The tumbadora and the bongo were instruments introduced into the East Coast jazz scene through Afro-Cuban jazz.
1117,Chico O'Farrill,What was Count Basie known for?,"Count Basie was known as an American jazz pianist, organist, bandleader, and composer."
1118,Chico O'Farrill,When was Stan Kenton born?,"December 15, 1911"
1119,Chico O'Farrill,What were Charlie Parker's nicknames?,Bird or Yardbird
1120,Chico O'Farrill,What is Afro-Cuban jazz?,"Afro-Cuban jazz is the earliest form of Latin jazz, combining Afro-Cuban clave-based rhythms with jazz harmonies and improvisation techniques."
1121,Chico O'Farrill,What are the geographical locations surrounding Cuba?,"Cuba is east of the Yucatán Peninsula, south of Florida and the Bahamas, west of Hispaniola, and north of Jamaica and the Cayman Islands."
1122,Chico O'Farrill,"What instrument did Art Farmer switch to in the early 1960s, and for what reason?",Art Farmer switched to the flugelhorn in the early 1960s to establish a warmer tone.
1123,Chico O'Farrill,What significant contribution did Stan Kenton make to jazz education?,He created the Stan Kenton Jazz Camp in 1959 at Indiana University.
1124,Chico O'Farrill,What was Art Farmer's notable contribution to the jazz music scene in terms of instrumentation?,"Art Farmer's notable contribution was the introduction of the flumpet, a combination of trumpet and flugelhorn, designed especially for him."
1125,Chico O'Farrill,When did Cuba gain independence and from whom?,"Cuba gained independence in 1902, following occupation by the United States after the Spanish–American War of 1898."
1126,Chico O'Farrill,What genres of music did Machito help refine and create?,Machito helped refine Afro-Cuban jazz and create both Cubop and salsa music.
1127,Chico O'Farrill,How did Art Farmer first become interested in jazz music?,Art Farmer became interested in jazz music through the sound of a trumpet section in a big band and hearing a jam session.
1128,Helen Greiner,Who originally produced the PackBot series of military robots before Endeavor Robotics?,iRobot
1129,Helen Greiner,In what year was the PackBot first deployed to aid United States Troops?,2002
1130,Helen Greiner,Who founded Women in Technology International (WITI) and in what year?,Carolyn Leighton founded WITI in 1989.
1131,Helen Greiner,When was the Jet Propulsion Laboratory founded and by whom?,1936 by Caltech researchers
1132,Helen Greiner,What is the purpose of the Women in Technology International Hall of Fame?,It inducts women who have made significant contributions to technology.
1133,Helen Greiner,"In what year was Bedford, Massachusetts incorporated, and from which towns was it formed?","In 1729, Bedford was incorporated from a portion of Concord and a portion of Billerica."
1134,Helen Greiner,What educational qualifications does Penny Pritzker hold?,"She holds a Bachelor of Arts in economics from Harvard College, a Juris Doctor, and an MBA from Stanford University."
1135,Helen Greiner,How do Roombas navigate around obstacles and avoid falling down stairs?,Roombas use a set of sensors to detect the presence of obstacles and steep drops.
1136,Helen Greiner,What significant positions did Rodney Brooks hold at the Massachusetts Institute of Technology (MIT)?,Panasonic Professor of Robotics and director of the MIT Computer Science and Artificial Intelligence Laboratory.
1137,Helen Greiner,What are Roombas used for?,Roombas are used as autonomous robotic vacuum cleaners.
1138,Helen Greiner,What significant change occurred to WITI in 2001?,It was renamed to the WITI Professional Association.
1139,Helen Greiner,What is the primary function of the Jet Propulsion Laboratory?,"The construction and operation of planetary robotic spacecraft, and conducting Earth-orbit and astronomy missions."
1140,Helen Greiner,What topics does Good Housekeeping cover?,"Home decor and renovation, health, beauty and food, entertainment, pets, and gifts."
1141,Helen Greiner,What is Penny Pritzker's relationship to the Pritzker family?,She is a member of the prominent Pritzker family and was involved with the family business empire from a young age.
1142,Helen Greiner,For what purpose were PackBot robots used at the World Trade Center in 2001?,To aid searching through the debris
1143,Helen Greiner,What is Rodney Allen Brooks known for in the field of robotics?,Popularizing the actionist approach to robotics.
1144,Helen Greiner,When was Good Housekeeping founded and by whom?,In 1885 by Clark W. Bryan.
1145,Helen Greiner,What roles did Penny Pritzker serve in the Obama administration?,She served as the 38th United States secretary of commerce from 2013 to 2017.
1146,Helen Greiner,What features do newer models of Roomba offer?,"Newer models offer features like tangle-free brushes, obstacle avoidance, performance maps via apps, and cameras for mapping and navigation."
1147,Helen Greiner,How are new members selected for the National Academy of Engineering?,"New members are elected annually by current members, based on their distinguished and continuing achievements in original research."
1148,Alfred H. Colquitt,When did the United States officially declare its independence?,"July 4, 1776"
1149,Alfred H. Colquitt,When was the Battle of South Mountain fought?,"September 14, 1862"
1150,Alfred H. Colquitt,What was the primary military force of the Confederate States of America in the Eastern Theater of the American Civil War?,The Army of Northern Virginia
1151,Alfred H. Colquitt,Against which Union army was the Army of Northern Virginia most often arrayed?,The Union Army of the Potomac
1152,Alfred H. Colquitt,What was the primary command structure of the Department of Northern Virginia?,The Army of Northern Virginia
1153,Alfred H. Colquitt,What political party did the members of the Bourbon Triumvirate belong to?,The members of the Bourbon Triumvirate belonged to the Democratic Party.
1154,Alfred H. Colquitt,How many individuals have officially served as Governor of Georgia?,There have officially been 77 governors of the state of Georgia.
1155,Alfred H. Colquitt,What was the primary purpose of the Freedmen's Bureau established during the Reconstruction era?,To provide food and shelter to the newly freed slaves.
1156,Alfred H. Colquitt,When and where was the Battle of Olustee fought?,"The Battle of Olustee was fought in Baker County, Florida on February 20, 1864."
1157,Alfred H. Colquitt,What era did the Bourbon Triumvirate belong to?,The Bourbon Triumvirate belonged to the post-Reconstruction Era.
1158,Alfred H. Colquitt,What role did Junius Daniel play in the American Civil War?,He served as a brigadier general in the Confederate States Army.
1159,Alfred H. Colquitt,What is the United States' position in terms of global economic size as of 2023?,largest nominal GDP
1160,Alfred H. Colquitt,What were the three amendments added to the United States Constitution during the Reconstruction era to grant equal civil rights to newly freed slaves?,"The 13th, 14th, and 15th Amendments."
1161,Alfred H. Colquitt,How many Southern states ratified an ordinance of secession and effected de facto secession?,Eleven Southern states and one territory ratified an ordinance of secession and effected de facto secession.
1162,Alfred H. Colquitt,What does the term 'Bourbon' signify in the context of the Bourbon Triumvirate?,"In the context of the Bourbon Triumvirate, 'Bourbon' refers to rulers who are unable to adapt to new situations and who espouse ideas suited for former eras."
1163,Alfred H. Colquitt,What is the form of government in the United States?,presidential constitutional republic and liberal democracy
1164,Alfred H. Colquitt,"What is Monroe, Georgia known for in terms of its historical economy?",Monroe was a major cotton producer in the state during the 1900s.
1165,Alfred H. Colquitt,What were the three mountain passes fought over in the Battle of South Mountain?,"Crampton's, Turner's, and Fox's Gaps"
1166,Alfred H. Colquitt,What was General Robert E. Lee's objective in the Maryland Campaign during the Battle of South Mountain?,"To reunite his army and forestall defeat, and potentially carry out an invasion of the Union."
1167,František Chvostek,What river is Vienna located on?,The Danube river
1168,František Chvostek,Who was the world's first psychoanalyst that lived in Vienna?,Sigmund Freud
1169,František Chvostek,In which country is Frýdek-Místek located?,The Czech Republic.
1170,František Chvostek,Can you name two of the city parts in Frýdek-Místek?,Frýdek and Místek.
1171,František Chvostek,In which region of the Czech Republic is Frýdek-Místek located?,The Moravian-Silesian Region.
1172,František Chvostek,What empire was Moravia a part of from 1004 to 1806?,The Holy Roman Empire
1173,František Chvostek,When did Moravia become a part of Czechoslovakia?,1918
1174,František Chvostek,What is the largest city and historical capital of Moravia?,Brno
1175,František Chvostek,Which international organizations are hosted in Vienna?,"The United Nations, OPEC, and the OSCE"
1176,František Chvostek,Which university did Adalbert Duchek serve as a professor after his tenure in Lemberg?,The University of Heidelberg.
1177,František Chvostek,What languages are used to refer to Frýdek-Místek besides Czech?,Polish and German.
1178,František Chvostek,What architectural styles are prevalent in the historic center of Vienna?,"Baroque palaces and gardens, and late-19th-century buildings"
1179,František Chvostek,What is unique about the city part Skalice in Frýdek-Místek?,Skalice forms an exclave of the municipal territory.
1180,František Chvostek,What was the Margraviate of Moravia part of from 1348 to 1918?,The Lands of the Bohemian Crown
1181,František Chvostek,What is the population of Moravia?,About 3.2 million
1182,František Chvostek,What role did Adalbert Duchek have with medical publications in Vienna?,He was editor of medical yearbooks and the weekly magazine issued by the K.K. Gesellschaft der Ärzte zu Wien.
1183,František Chvostek,How many inhabitants does Vienna have?,About two million
1184,František Chvostek,What was Adalbert Duchek known for in his professional career?,"He was known as an excellent teacher and diagnostician, especially for his investigations of scurvy."
1185,František Chvostek,What river is Moravia named after?,The Morava river
1186,Norbert Reithofer,What is the Munich University of Applied Sciences known as in German?,Hochschule für angewandte Wissenschaften München
1187,Norbert Reithofer,What was the Max Planck Society formerly known as?,Kaiser Wilhelm Society
1188,Norbert Reithofer,When did BMW South Africa officially start its operations?,BMW South Africa officially started its operations in 1975.
1189,Norbert Reithofer,What position did Harald Krüger hold at BMW?,Chairman of the board of management (CEO)
1190,Norbert Reithofer,When did Penzberg receive town privileges?,Penzberg received town privileges in 1919.
1191,Norbert Reithofer,What major event in September 2008 marked a climax in the financial crisis?,The bankruptcy of Lehman Brothers.
1192,Norbert Reithofer,When was BMW founded and what was its initial product?,"BMW was founded in 1916, and its initial product was aircraft engines."
1193,Norbert Reithofer,What are the brands under which BMW markets automobiles and motorcycles?,"Automobiles are marketed under BMW, Mini, and Rolls-Royce, and motorcycles are marketed under BMW Motorrad."
1194,Norbert Reithofer,What is Penzberg best known for today?,Penzberg is known for its pharmaceutical industries.
1195,Norbert Reithofer,What percentage of BMW South Africa's production was exported in 2011?,Around three quarters of the production was exported in 2011.
1196,Norbert Reithofer,When was Penzberg first mentioned in historical records?,Penzberg was first mentioned in a 1275 contract.
1197,Norbert Reithofer,What is the primary goal of the Max Planck Society?,"To support fundamental research in the natural, life and social sciences, the arts and humanities."
1198,Norbert Reithofer,What significant change did BMW make to its engine production strategy in the 2010s?,"In the 2010s, BMW switched most of its engines over to turbocharging."
1199,Norbert Reithofer,What was Helmut Panke's role at BMW AG?,Chairman of the board of management
1200,Norbert Reithofer,What is Munich known for in terms of global contributions?,"Munich is a global centre of science, technology, finance, innovation, business, and tourism."
1201,Norbert Reithofer,What was the significant investment made by BMW South Africa at the beginning of the new millennium?,An investment of 3.5 billion rand was made.
1202,Norbert Reithofer,What significant role did Joachim Milberg play at BMW?,Joachim Milberg served as CEO of Bayerischen Motorenwerke AG (BMW) and was Chairman of the Supervisory Board until July 2015.
1203,Norbert Reithofer,How many partner universities does Munich University of Applied Sciences collaborate with?,more than 200 partner universities
1204,Norbert Reithofer,What were the main causes of the 2007–2008 financial crisis?,"Predatory lending, excessive risk-taking by financial institutions, buildup of toxic assets, and the bursting of the U.S. housing bubble."
1205,Norbert Reithofer,What was the response of governments worldwide to the 2007–2008 financial crisis?,Governments deployed massive bail-outs of financial institutions and implemented monetary and fiscal policies to prevent a global financial system collapse.
1206,Simone Young,What is the nationality of the Oehms Classics music label?,German
1207,Simone Young,Where is the Sydney Symphony Orchestra based?,Sydney
1208,Simone Young,How many concerts does the Sydney Symphony Orchestra perform annually?,around 150 concerts
1209,Simone Young,Where is Opera Australia based?,"Sydney, New South Wales"
1210,Simone Young,What was the original name of the Vienna State Opera when it was inaugurated?,Vienna Court Opera
1211,Simone Young,In what year were the Helpmann Awards established?,The Helpmann Awards were established in 2001.
1212,Simone Young,What are some of the major tourist attractions in Sydney?,Sydney Harbour Bridge and the Sydney Opera House
1213,Simone Young,When and where did Knut Skram make his official stage debut?,Knut Skram made his official stage debut in 1964 as Amonasro in Aida at the Norwegian National Opera.
1214,Simone Young,What are the Helpmann Awards?,The Helpmann Awards are accolades for live entertainment and performing arts in Australia.
1215,Simone Young,What was the original name of the Mo Awards?,The Star Awards
1216,Simone Young,Who are the members of the Vienna Philharmonic recruited from?,The Vienna State Opera's orchestra
1217,Simone Young,Who presents the Helpmann Awards?,The Helpmann Awards are presented by Live Performance Australia (LPA).
1218,Simone Young,When was the Vienna State Opera built?,It was built from 1861 to 1869.
1219,Simone Young,What significant event in the history of the Hamburg State Opera took place on 18 May 1826?,The first stone was laid for the Stadt-Theater on the present-day site of the Hamburg State Opera.
1220,Simone Young,Who founded Oehms Classics?,Dieter Oehms
1221,Simone Young,For what purpose were the Mo Awards initially founded?,To promote the live entertainment industry in New South Wales
1222,Simone Young,What is Knut Skram known for?,Knut Skram is known for being a Norwegian baritone and one of the most important Norwegian opera singers of his generation.
1223,Simone Young,What awards has Knut Skram received for his contributions to Norwegian culture?,Knut Skram was awarded Norway's Knight of the Order of St. Olav in 1984 and the Anders Jahres Kulturpris in 2001.
1224,Simone Young,What is the population of Sydney as of June 2023?,"5,450,496"
1225,Jürgen Ehlers,What is the official name of Hamburg?,The Free and Hanseatic City of Hamburg
1226,Jürgen Ehlers,What significant event took place in Potsdam in 1945?,The Potsdam Conference
1227,Jürgen Ehlers,When was the Max Planck Institute for Physics and Astrophysics founded?,1958
1228,Jürgen Ehlers,When was the Max Planck Institute for Gravitational Physics founded?,The institute was founded in 1995.
1229,Jürgen Ehlers,How many people live in the Hamburg Metropolitan Region?,Over 5.1 million
1230,Jürgen Ehlers,What major global event did Munich host in 1972?,The 1972 Summer Olympics
1231,Jürgen Ehlers,What notable international legal institution is based in Hamburg?,The International Tribunal for the Law of the Sea
1232,Jürgen Ehlers,What is the Max Planck Institute for Astrophysics renowned for?,Theoretical astrophysics research.
1233,Jürgen Ehlers,What was the original name of the Max Planck Institute for Physics when it was founded in 1917?,Kaiser-Wilhelm-Institut für Physik (KWIP)
1234,Jürgen Ehlers,What significant contributions did Pascual Jordan make to the field of physics?,"Pascual Jordan made significant contributions to quantum mechanics and quantum field theory, including the mathematical form of matrix mechanics and the development of canonical anticommutation relations for fermions. He also introduced Jordan algebras."
1235,Jürgen Ehlers,What is the primary research focus of the Max Planck Institute for Gravitational Physics?,"The primary research focus is on investigating Einstein's theory of relativity and beyond, including mathematics, quantum gravity, astrophysical relativity, and gravitational-wave astronomy."
1236,Jürgen Ehlers,What is Munich known for in terms of its economy?,"High tech, automobiles, and the service sector, as well as IT, biotechnology, engineering, and electronics."
1237,Jürgen Ehlers,What fields does the Max Planck Institute for Physics specialize in?,High energy physics and astroparticle physics
1238,Jürgen Ehlers,What was Pascual Jordan's educational background and early academic interests?,"Jordan enrolled in the Technical University of Hannover in 1921, studying zoology, mathematics, and physics. He later shifted to the University of Göttingen, where he studied under notable figures like Max Born and became interested in physics and genetics."
1239,Jürgen Ehlers,What was Otto Heckmann's role at the Hamburg Observatory?,He was the director from 1941 to 1962.
1240,Jürgen Ehlers,What significant contribution did the Max Planck Institute for Gravitational Physics make to the detection of gravitational waves?,"Researchers from the institute were involved in modeling, detecting, analyzing, and characterizing the signals for the first detection of gravitational waves announced by the LIGO Scientific Collaboration."
1241,Jürgen Ehlers,"Why did Pascual Jordan join the Nazi Party, and what was his stance on the Deutsche Physik movement?","Jordan joined the Nazi Party in 1933 but did not follow the Deutsche Physik movement, which rejected quantum physics developed by Albert Einstein and other Jewish physicists."
1242,Jürgen Ehlers,What is the population of Munich as of 29 February 2024?,"1,589,706"
1243,Rudolf Mössbauer,When was the Technical University of Munich established?,1868
1244,Rudolf Mössbauer,"When was the first Nobel Prize in Physics awarded, and to whom?",The first Nobel Prize in Physics was awarded in 1901 to Wilhelm Röntgen for the discovery of X-rays.
1245,Rudolf Mössbauer,Who established the Nobel Prizes and in what year?,The Nobel Prizes were established by Alfred Nobel in 1895.
1246,Rudolf Mössbauer,"As of 2024, where does Munich rank in terms of population size in Germany?",It is the third-largest city in Germany.
1247,Rudolf Mössbauer,What major global event did Munich host in 1972?,The 1972 Summer Olympics.
1248,Rudolf Mössbauer,What was the significant experiment Glen Rebka is known for?,The Pound–Rebka experiment
1249,Rudolf Mössbauer,Who is eligible to receive the Nobel Prize in Physics?,Those who have made the most outstanding contributions to humankind in the field of physics.
1250,Rudolf Mössbauer,What was the main focus of the Pound–Rebka experiment?,The main focus was monitoring frequency shifts in gamma rays as they moved in the Earth's gravitational field.
1251,Rudolf Mössbauer,"When was the Max Planck Institute for Medical Research originally founded, and what was its original name?",It was opened in 1930 as the Kaiser Wilhelm Institute for Medical Research.
